Empire: Shuttle-E4 shoots at Fighter-A24. Result: 5 damage, 35 strength left.
Empire: Scout-E17 shoots at Fighter-A22. Result: 14 damage, 15 strength left.
Alliance: Fighter-A23 shoots at Shuttle-E1. Result: 15 damage, 0 strength left.
Empire: Shuttle-E4 shoots at Fighter-A23. Result: 5 damage, 25 strength left.
Alliance: Transport-A14 shoots at Shuttle-E2. Result: 6 damage, 2 strength left.
Empire: Shuttle-E9 shoots at Scout-A17. Result: 5 damage, 55 strength left.
Alliance: Fighter-A23 shoots at Shuttle-E8. Result: 15 damage, 0 strength left.
Empire: Shuttle-E7 shoots at Fighter-A24. Result: 0 damage, 21 strength left.
Alliance: Shuttle-A2 shoots at Fighter-E22. Result: 4 damage, 26 strength left.
Empire: Scout-E20 shoots at Shuttle-A2. Result: 14 damage, 0 strength left.
Alliance: Fighter-A23 shoots at Scout-E17. Result: 15 damage, 6 strength left.
Empire: Transport-E15 shoots at Scout-A17. Result: 0 damage, 55 strength left.
Alliance: Scout-A16 shoots at Shuttle-E3. Result: 9 damage, 0 strength left.
Empire: Fighter-E23 shoots at Scout-A17. Result: 25 damage, 30 strength left.
Alliance: Scout-A19 shoots at Shuttle-E2. Result: 9 damage, 0 strength left.
Empire: Shuttle-E7 shoots at Transport-A14. Result: 5 damage, 0 strength left.
Alliance: Transport-A13 shoots at Scout-E19. Result: 6 damage, 44 strength left.
Empire: Scout-E20 shoots at Scout-A19. Result: 14 damage, 60 strength left.
Alliance: Transport-A13 shoots at Transport-E15. Result: 0 damage, 1 strength left.
Empire: Scout-E18 shoots at Fighter-A23. Result: 14 damage, 11 strength left.
Alliance: Fighter-A23 shoots at Scout-E19. Result: 15 damage, 29 strength left.
Empire: Scout-E19 shoots at Scout-A16. Result: 14 damage, 0 strength left.
Alliance: Transport-A15 shoots at Scout-E19. Result: 6 damage, 23 strength left.
Empire: Transport-E12 shoots at Scout-A18. Result: 9 damage, 60 strength left.
Alliance: Scout-A19 shoots at Scout-E18. Result: 9 damage, 6 strength left.
Empire: Fighter-E23 shoots at Scout-A19. Result: 25 damage, 35 strength left.
Alliance: Scout-A18 shoots at Transport-E12. Result: 0 damage, 6 strength left.
Empire: Transport-E11 shoots at Transport-A13. Result: 9 damage, 0 strength left.
Alliance: Scout-A19 shoots at Scout-E18. Result: 0 damage, 6 strength left.
Empire: Fighter-E22 shoots at Fighter-A23. Result: 25 damage, 11 strength left.
Alliance: Scout-A19 shoots at Fighter-E22. Result: 9 damage, 17 strength left.
Empire: Shuttle-E7 shoots at Scout-A18. Result: 5 damage, 55 strength left.
Alliance: Scout-A18 shoots at Transport-E15. Result: 9 damage, 0 strength left.
Empire: Fighter-E22 shoots at Fighter-A22. Result: 25 damage, 0 strength left.
Alliance: Scout-A17 shoots at Fighter-E23. Result: 0 damage, 24 strength left.
Empire: Scout-E19 shoots at Scout-A17. Result: 14 damage, 16 strength left.
Alliance: Fighter-A24 shoots at Fighter-E23. Result: 0 damage, 24 strength left.
Empire: Scout-E16 shoots at Transport-A15. Result: 14 damage, 0 strength left.
Alliance: Fighter-A23 shoots at Scout-E17. Result: 0 damage, 6 strength left.
Empire: Scout-E18 shoots at Scout-A17. Result: 14 damage, 16 strength left.
Alliance: Fighter-A23 shoots at Shuttle-E9. Result: 0 damage, 2 strength left.
Empire: Transport-E12 shoots at Fighter-A24. Result: 0 damage, 21 strength left.
Alliance: Fighter-A24 shoots at Scout-E19. Result: 15 damage, 8 strength left.
Empire: Shuttle-E9 shoots at Scout-A18. Result: 0 damage, 55 strength left.
Alliance: Fighter-A23 shoots at Shuttle-E7. Result: 0 damage, 8 strength left.
Empire: Fighter-E23 shoots at Scout-A17. Result: 0 damage, 16 strength left.
Alliance: Scout-A17 shoots at Shuttle-E9. Result: 9 damage, 0 strength left.
Empire: Scout-E16 shoots at Scout-A18. Result: 0 damage, 55 strength left.
Alliance: Scout-A19 shoots at Shuttle-E7. Result: 0 damage, 8 strength left.
Empire: Shuttle-E7 shoots at Fighter-A23. Result: 5 damage, 11 strength left.
Alliance: Scout-A19 shoots at Shuttle-E4. Result: 0 damage, 4 strength left.
Empire: Scout-E17 shoots at Fighter-A24. Result: 14 damage, 7 strength left.
Alliance: Scout-A19 shoots at Scout-E20. Result: 9 damage, 35 strength left.
Empire: Scout-E17 shoots at Scout-A19. Result: 14 damage, 21 strength left.
Alliance: Scout-A18 shoots at Fighter-E22. Result: 9 damage, 8 strength left.
Empire: Scout-E17 shoots at Scout-A18. Result: 14 damage, 41 strength left.
Alliance: Fighter-A24 shoots at Scout-E17. Result: 15 damage, 0 strength left.
Empire: Shuttle-E7 shoots at Scout-A17. Result: 5 damage, 16 strength left.
Alliance: Scout-A19 shoots at Scout-E16. Result: 9 damage, 32 strength left.
Empire: Transport-E12 shoots at Fighter-A24. Result: 9 damage, 7 strength left.
Alliance: Fighter-A24 shoots at Scout-E16. Result: 0 damage, 32 strength left.
Empire: Fighter-E21 shoots at Scout-A19. Result: 0 damage, 21 strength left.
Alliance: Scout-A17 shoots at Scout-E18. Result: 0 damage, 6 strength left.
Empire: Transport-E12 shoots at Fighter-A24. Result: 9 damage, 7 strength left.
Alliance: Scout-A18 shoots at Fighter-E21. Result: 9 damage, 21 strength left.
Empire: Scout-E20 shoots at Fighter-A24. Result: 14 damage, 0 strength left.
Alliance: Scout-A17 shoots at Fighter-E21. Result: 9 damage, 12 strength left.
Empire: Scout-E18 shoots at Scout-A19. Result: 14 damage, 21 strength left.
Alliance: Scout-A17 shoots at Shuttle-E4. Result: 9 damage, 0 strength left.
Empire: Scout-E18 shoots at Scout-A19. Result: 14 damage, 21 strength left.
Alliance: Fighter-A23 shoots at Fighter-E21. Result: 15 damage, 0 strength left.
Empire: Scout-E19 shoots at Scout-A17. Result: 14 damage, 2 strength left.
Alliance: Scout-A18 shoots at Scout-E16. Result: 0 damage, 32 strength left.
Empire: Transport-E12 shoots at Scout-A19. Result: 9 damage, 21 strength left.
Alliance: Scout-A18 shoots at Scout-E20. Result: 0 damage, 35 strength left.
Empire: Transport-E11 shoots at Scout-A17. Result: 9 damage, 2 strength left.
Alliance: Fighter-A23 shoots at Scout-E18. Result: 0 damage, 6 strength left.
Empire: Scout-E18 shoots at Scout-A19. Result: 14 damage, 7 strength left.
Alliance: Scout-A18 shoots at Scout-E16. Result: 9 damage, 32 strength left.
Empire: Transport-E11 shoots at Fighter-A23. Result: 9 damage, 2 strength left.
Alliance: Scout-A19 shoots at Scout-E19. Result: 9 damage, 0 strength left.
Empire: Scout-E16 shoots at Scout-A19. Result: 14 damage, 7 strength left.
Alliance: Scout-A18 shoots at Scout-E18. Result: 9 damage, 0 strength left.
Empire: Fighter-E22 shoots at Fighter-A23. Result: 25 damage, 0 strength left.
Alliance: Scout-A19 shoots at Shuttle-E7. Result: 9 damage, 0 strength left.
Empire: Transport-E11 shoots at Scout-A17. Result: 9 damage, 0 strength left.
Alliance: Scout-A19 shoots at Scout-E20. Result: 9 damage, 26 strength left.
Empire: Fighter-E22 shoots at Scout-A18. Result: 25 damage, 41 strength left.
Alliance: Scout-A19 shoots at Fighter-E22. Result: 0 damage, 8 strength left.
Empire: Transport-E11 shoots at Scout-A19. Result: 9 damage, 0 strength left.
Alliance: Scout-A18 shoots at Transport-E11. Result: 9 damage, 0 strength left.
Empire: Scout-E16 shoots at Scout-A18. Result: 0 damage, 41 strength left.
Alliance: Scout-A18 shoots at Transport-E12. Result: 0 damage, 6 strength left.
Empire: Fighter-E23 shoots at Scout-A18. Result: 25 damage, 16 strength left.
Alliance: Scout-A18 shoots at Scout-E20. Result: 0 damage, 26 strength left.
Empire: Fighter-E23 shoots at Scout-A18. Result: 25 damage, 16 strength left.
Alliance: Scout-A18 shoots at Fighter-E23. Result: 0 damage, 24 strength left.
Empire: Scout-E16 shoots at Scout-A18. Result: 14 damage, 16 strength left.
Alliance: Scout-A18 shoots at Transport-E12. Result: 0 damage, 6 strength left.
Empire: Scout-E16 shoots at Scout-A18. Result: 14 damage, 2 strength left.
Alliance: Scout-A18 shoots at Transport-E12. Result: 9 damage, 0 strength left.
Empire: Fighter-E22 shoots at Scout-A18. Result: 25 damage, 0 strength left.

-----------------------------------------------------------------------------------------

Empire won.
Remaining spaceships: 4

Shuttle: 0
Transport: 0
Scout: 2
Fighter: 2
Bomber: 0
